nodeID,name,type,describe,,,,,,,,,,,BA_mean,BA_std
,FE_外圈_size14_load0_clock12,feature,FE_外圈_size14_load0_clock12,,,,,,,,,,,,
,FE_外圈_size14_load1_clock3,feature,FE_外圈_size14_load1_clock3,,,,,,,,,,,,
,FE_外圈_size14_load1_clock6,feature,FE_外圈_size14_load1_clock6,,,,,,,,,,,,
,FE_外圈_size14_load1_clock12,feature,FE_外圈_size14_load1_clock12,,,,,,,,,,,,
,FE_外圈_size14_load2_clock3,feature,FE_外圈_size14_load2_clock3,,,,,,,,,,,,
,FE_外圈_size14_load2_clock6,feature,FE_外圈_size14_load2_clock6,,,,,,,,,,,,
,FE_外圈_size14_load2_clock12,feature,FE_外圈_size14_load2_clock12,,,,,,,,,,,,
,FE_外圈_size14_load3_clock3,feature,FE_外圈_size14_load3_clock3,,,,,,,,,,,,
,FE_外圈_size14_load3_clock6,feature,FE_外圈_size14_load3_clock6,,,,,,,,,,,,
,FE_外圈_size14_load3_clock12,feature,FE_外圈_size14_load3_clock12,,,,,,,,,,,,
,FE_外圈_size21_load0_clock3,feature,FE_外圈_size21_load0_clock3,,,,,,,,,,,,
,FE_外圈_size21_load0_clock6,feature,FE_外圈_size21_load0_clock6,,,,,,,,,,,,
,FE_外圈_size21_load0_clock12,feature,FE_外圈_size21_load0_clock12,,,,,,,,,,,,
,FE_外圈_size21_load1_clock3,feature,FE_外圈_size21_load1_clock3,,,,,,,,,,,,
,FE_外圈_size21_load1_clock6,feature,FE_外圈_size21_load1_clock6,,,,,,,,,,,,
,FE_外圈_size21_load1_clock12,feature,FE_外圈_size21_load1_clock12,,,,,,,,,,,,
,FE_外圈_size21_load2_clock3,feature,FE_外圈_size21_load2_clock3,,,,,,,,,,,,
,FE_外圈_size21_load2_clock6,feature,FE_外圈_size21_load2_clock6,,,,,,,,,,,,
,FE_外圈_size21_load2_clock12,feature,FE_外圈_size21_load2_clock12,,,,,,,,,,,,
,FE_外圈_size21_load3_clock3,feature,FE_外圈_size21_load3_clock3,,,,,,,,,,,,
,FE_外圈_size21_load3_clock6,feature,FE_外圈_size21_load3_clock6,,,,,,,,,,,,
,FE_外圈_size21_load3_clock12,feature,FE_外圈_size21_load3_clock12,,,,,,,,,,,,
,风扇端_BO_size7_load0_clock3,feature,风扇端_BO_size7_load0_clock3,,,,,,,,,,,,
,风扇端_BO_size7_load0_clock6,feature,风扇端_BO_size7_load0_clock6,,,,,,,,,,,,
,风扇端_BO_size7_load0_clock12,feature,风扇端_BO_size7_load0_clock12,,,,,,,,,,,,
,风扇端_BO_size7_load1_clock3,feature,风扇端_BO_size7_load1_clock3,,,,,,,,,,,,
,风扇端_BO_size7_load1_clock6,feature,风扇端_BO_size7_load1_clock6,,,,,,,,,,,,
,风扇端_BO_size7_load1_clock12,feature,风扇端_BO_size7_load1_clock12,,,,,,,,,,,,
,风扇端_BO_size7_load2_clock3,feature,风扇端_BO_size7_load2_clock3,,,,,,,,,,,,
,风扇端_BO_size7_load2_clock6,feature,风扇端_BO_size7_load2_clock6,,,,,,,,,,,,
,风扇端_BO_size7_load2_clock12,feature,风扇端_BO_size7_load2_clock12,,,,,,,,,,,,
,风扇端_BO_size7_load3_clock3,feature,风扇端_BO_size7_load3_clock3,,,,,,,,,,,,
,风扇端_BO_size7_load3_clock6,feature,风扇端_BO_size7_load3_clock6,,,,,,,,,,,,
,风扇端_BO_size7_load3_clock12,feature,风扇端_BO_size7_load3_clock12,,,,,,,,,,,,
,风扇端_BO_size14_load0_clock3,feature,风扇端_BO_size14_load0_clock3,,,,,,,,,,,,
,风扇端_BO_size14_load0_clock6,feature,风扇端_BO_size14_load0_clock6,,,,,,,,,,,,
,风扇端_BO_size14_load0_clock12,feature,风扇端_BO_size14_load0_clock12,,,,,,,,,,,,
,风扇端_BO_size14_load1_clock3,feature,风扇端_BO_size14_load1_clock3,,,,,,,,,,,,
,风扇端_BO_size14_load1_clock6,feature,风扇端_BO_size14_load1_clock6,,,,,,,,,,,,
,风扇端_BO_size14_load1_clock12,feature,风扇端_BO_size14_load1_clock12,,,,,,,,,,,,
,风扇端_BO_size14_load2_clock3,feature,风扇端_BO_size14_load2_clock3,,,,,,,,,,,,
,风扇端_BO_size14_load2_clock6,feature,风扇端_BO_size14_load2_clock6,,,,,,,,,,,,
,风扇端_BO_size14_load2_clock12,feature,风扇端_BO_size14_load2_clock12,,,,,,,,,,,,
,风扇端_BO_size14_load3_clock3,feature,风扇端_BO_size14_load3_clock3,,,,,,,,,,,,
,风扇端_BO_size14_load3_clock6,feature,风扇端_BO_size14_load3_clock6,,,,,,,,,,,,
,风扇端_BO_size14_load3_clock12,feature,风扇端_BO_size14_load3_clock12,,,,,,,,,,,,
,风扇端_BO_size21_load0_clock3,feature,风扇端_BO_size21_load0_clock3,,,,,,,,,,,,
,风扇端_BO_size21_load0_clock6,feature,风扇端_BO_size21_load0_clock6,,,,,,,,,,,,
,风扇端_BO_size21_load0_clock12,feature,风扇端_BO_size21_load0_clock12,,,,,,,,,,,,
,风扇端_BO_size21_load1_clock3,feature,风扇端_BO_size21_load1_clock3,,,,,,,,,,,,
,风扇端_BO_size21_load1_clock6,feature,风扇端_BO_size21_load1_clock6,,,,,,,,,,,,
,风扇端_BO_size21_load1_clock12,feature,风扇端_BO_size21_load1_clock12,,,,,,,,,,,,
,风扇端_BO_size21_load2_clock3,feature,风扇端_BO_size21_load2_clock3,,,,,,,,,,,,
,风扇端_BO_size21_load2_clock6,feature,风扇端_BO_size21_load2_clock6,,,,,,,,,,,,
,风扇端_BO_size21_load2_clock12,feature,风扇端_BO_size21_load2_clock12,,,,,,,,,,,,
,风扇端_BO_size21_load3_clock3,feature,风扇端_BO_size21_load3_clock3,,,,,,,,,,,,
,风扇端_BO_size21_load3_clock6,feature,风扇端_BO_size21_load3_clock6,,,,,,,,,,,,
,风扇端_BO_size21_load3_clock12,feature,风扇端_BO_size21_load3_clock12,,,,,,,,,,,,
,风扇端_内圈_size7_load0_clock3,feature,风扇端_内圈_size7_load0_clock3,,,,,,,,,,,,
,风扇端_内圈_size7_load0_clock6,feature,风扇端_内圈_size7_load0_clock6,,,,,,,,,,,,
,风扇端_内圈_size7_load0_clock12,feature,风扇端_内圈_size7_load0_clock12,,,,,,,,,,,,
,风扇端_内圈_size7_load1_clock3,feature,风扇端_内圈_size7_load1_clock3,,,,,,,,,,,,
,风扇端_内圈_size7_load1_clock6,feature,风扇端_内圈_size7_load1_clock6,,,,,,,,,,,,
,风扇端_内圈_size7_load1_clock12,feature,风扇端_内圈_size7_load1_clock12,,,,,,,,,,,,
,风扇端_内圈_size7_load2_clock3,feature,风扇端_内圈_size7_load2_clock3,,,,,,,,,,,,
,风扇端_内圈_size7_load2_clock6,feature,风扇端_内圈_size7_load2_clock6,,,,,,,,,,,,
,风扇端_内圈_size7_load2_clock12,feature,风扇端_内圈_size7_load2_clock12,,,,,,,,,,,,
,风扇端_内圈_size7_load3_clock3,feature,风扇端_内圈_size7_load3_clock3,,,,,,,,,,,,
,风扇端_内圈_size7_load3_clock6,feature,风扇端_内圈_size7_load3_clock6,,,,,,,,,,,,
,风扇端_内圈_size7_load3_clock12,feature,风扇端_内圈_size7_load3_clock12,,,,,,,,,,,,
,风扇端_内圈_size14_load0_clock12,feature,风扇端_内圈_size14_load0_clock12,,,,,,,,,,,,
,风扇端_内圈_size14_load1_clock3,feature,风扇端_内圈_size14_load1_clock3,,,,,,,,,,,,
,风扇端_内圈_size14_load1_clock12,feature,风扇端_内圈_size14_load1_clock12,,,,,,,,,,,,
,风扇端_内圈_size14_load2_clock3,feature,风扇端_内圈_size14_load2_clock3,,,,,,,,,,,,
,风扇端_内圈_size14_load2_clock12,feature,风扇端_内圈_size14_load2_clock12,,,,,,,,,,,,
,风扇端_内圈_size14_load3_clock3,feature,风扇端_内圈_size14_load3_clock3,,,,,,,,,,,,
,风扇端_内圈_size14_load3_clock6,feature,风扇端_内圈_size14_load3_clock6,,,,,,,,,,,,
,风扇端_内圈_size14_load3_clock12,feature,风扇端_内圈_size14_load3_clock12,,,,,,,,,,,,
,风扇端_内圈_size21_load0_clock3,feature,风扇端_内圈_size21_load0_clock3,,,,,,,,,,,,
,风扇端_内圈_size21_load0_clock6,feature,风扇端_内圈_size21_load0_clock6,,,,,,,,,,,,
,风扇端_内圈_size21_load0_clock12,feature,风扇端_内圈_size21_load0_clock12,,,,,,,,,,,,
,风扇端_内圈_size21_load1_clock3,feature,风扇端_内圈_size21_load1_clock3,,,,,,,,,,,,
,风扇端_内圈_size21_load1_clock6,feature,风扇端_内圈_size21_load1_clock6,,,,,,,,,,,,
,风扇端_内圈_size21_load1_clock12,feature,风扇端_内圈_size21_load1_clock12,,,,,,,,,,,,
,风扇端_内圈_size21_load2_clock3,feature,风扇端_内圈_size21_load2_clock3,,,,,,,,,,,,
,风扇端_内圈_size21_load2_clock6,feature,风扇端_内圈_size21_load2_clock6,,,,,,,,,,,,
,风扇端_内圈_size21_load2_clock12,feature,风扇端_内圈_size21_load2_clock12,,,,,,,,,,,,
,风扇端_内圈_size21_load3_clock3,feature,风扇端_内圈_size21_load3_clock3,,,,,,,,,,,,
,风扇端_内圈_size21_load3_clock6,feature,风扇端_内圈_size21_load3_clock6,,,,,,,,,,,,
,风扇端_内圈_size21_load3_clock12,feature,风扇端_内圈_size21_load3_clock12,,,,,,,,,,,,
,风扇端_外圈_size7_load0_clock3,feature,风扇端_外圈_size7_load0_clock3,,,,,,,,,,,,
,风扇端_外圈_size7_load0_clock6,feature,风扇端_外圈_size7_load0_clock6,,,,,,,,,,,,
,风扇端_外圈_size7_load0_clock12,feature,风扇端_外圈_size7_load0_clock12,,,,,,,,,,,,
,风扇端_外圈_size7_load1_clock3,feature,风扇端_外圈_size7_load1_clock3,,,,,,,,,,,,
,风扇端_外圈_size7_load1_clock6,feature,风扇端_外圈_size7_load1_clock6,,,,,,,,,,,,
,风扇端_外圈_size7_load1_clock12,feature,风扇端_外圈_size7_load1_clock12,,,,,,,,,,,,
,风扇端_外圈_size7_load2_clock3,feature,风扇端_外圈_size7_load2_clock3,,,,,,,,,,,,
,风扇端_外圈_size7_load2_clock6,feature,风扇端_外圈_size7_load2_clock6,,,,,,,,,,,,
,风扇端_外圈_size7_load2_clock12,feature,风扇端_外圈_size7_load2_clock12,,,,,,,,,,,,
,风扇端_外圈_size7_load3_clock3,feature,风扇端_外圈_size7_load3_clock3,,,,,,,,,,,,
,风扇端_外圈_size7_load3_clock6,feature,风扇端_外圈_size7_load3_clock6,,,,,,,,,,,,
,风扇端_外圈_size7_load3_clock12,feature,风扇端_外圈_size7_load3_clock12,,,,,,,,,,,,
,风扇端_外圈_size14_load0_clock3,feature,风扇端_外圈_size14_load0_clock3,,,,,,,,,,,,
,风扇端_外圈_size14_load0_clock6,feature,风扇端_外圈_size14_load0_clock6,,,,,,,,,,,,
,风扇端_外圈_size14_load0_clock12,feature,风扇端_外圈_size14_load0_clock12,,,,,,,,,,,,
,风扇端_外圈_size14_load1_clock3,feature,风扇端_外圈_size14_load1_clock3,,,,,,,,,,,,
,风扇端_外圈_size14_load1_clock6,feature,风扇端_外圈_size14_load1_clock6,,,,,,,,,,,,
,风扇端_外圈_size14_load1_clock12,feature,风扇端_外圈_size14_load1_clock12,,,,,,,,,,,,
,风扇端_外圈_size14_load2_clock3,feature,风扇端_外圈_size14_load2_clock3,,,,,,,,,,,,
,风扇端_外圈_size14_load2_clock6,feature,风扇端_外圈_size14_load2_clock6,,,,,,,,,,,,
,风扇端_外圈_size14_load2_clock12,feature,风扇端_外圈_size14_load2_clock12,,,,,,,,,,,,
,风扇端_外圈_size14_load3_clock3,feature,风扇端_外圈_size14_load3_clock3,,,,,,,,,,,,
,风扇端_外圈_size14_load3_clock6,feature,风扇端_外圈_size14_load3_clock6,,,,,,,,,,,,
,风扇端_外圈_size14_load3_clock12,feature,风扇端_外圈_size14_load3_clock12,,,,,,,,,,,,
,风扇端_外圈_size21_load0_clock3,feature,风扇端_外圈_size21_load0_clock3,,,,,,,,,,,,
,风扇端_外圈_size21_load0_clock6,feature,风扇端_外圈_size21_load0_clock6,,,,,,,,,,,,
,风扇端_外圈_size21_load0_clock12,feature,风扇端_外圈_size21_load0_clock12,,,,,,,,,,,,
,风扇端_外圈_size21_load1_clock3,feature,风扇端_外圈_size21_load1_clock3,,,,,,,,,,,,
,风扇端_外圈_size21_load1_clock6,feature,风扇端_外圈_size21_load1_clock6,,,,,,,,,,,,
,风扇端_外圈_size21_load1_clock12,feature,风扇端_外圈_size21_load1_clock12,,,,,,,,,,,,
,风扇端_外圈_size21_load2_clock3,feature,风扇端_外圈_size21_load2_clock3,,,,,,,,,,,,
,风扇端_外圈_size21_load2_clock6,feature,风扇端_外圈_size21_load2_clock6,,,,,,,,,,,,
,风扇端_外圈_size21_load2_clock12,feature,风扇端_外圈_size21_load2_clock12,,,,,,,,,,,,
,风扇端_外圈_size21_load3_clock3,feature,风扇端_外圈_size21_load3_clock3,,,,,,,,,,,,
,风扇端_外圈_size21_load3_clock6,feature,风扇端_外圈_size21_load3_clock6,,,,,,,,,,,,
,风扇端_外圈_size21_load3_clock12,feature,风扇端_外圈_size21_load3_clock12,,,,,,,,,,,,
