start_entity,label,end_entity,label,relationship
DE_BO_size14_load2,feature,DE_BO_size14,fault,belongsto
DE_BO_size14_load3,feature,DE_BO_size14,fault,belongsto
DE_BO_size21_load0,feature,DE_BO_size21,fault,belongsto
DE_BO_size21_load1,feature,DE_BO_size21,fault,belongsto
DE_BO_size21_load2,feature,DE_BO_size21,fault,belongsto
DE_BO_size21_load3,feature,DE_BO_size21,fault,belongsto
DE_IR_size7_load0,feature,DE_IR_size7,fault,belongsto
DE_IR_size7_load1,feature,DE_IR_size7,fault,belongsto
DE_IR_size7_load2,feature,DE_IR_size7,fault,belongsto
DE_IR_size7_load3,feature,DE_IR_size7,fault,belongsto
DE_IR_size14_load0,feature,DE_IR_size14,fault,belongsto
DE_IR_size14_load1,feature,DE_IR_size14,fault,belongsto
DE_IR_size14_load2,feature,DE_IR_size14,fault,belongsto
DE_IR_size14_load3,feature,DE_IR_size14,fault,belongsto
DE_IR_size21_load0,feature,DE_IR_size21,fault,belongsto
DE_IR_size21_load1,feature,DE_IR_size21,fault,belongsto
DE_IR_size21_load2,feature,DE_IR_size21,fault,belongsto
DE_IR_size21_load3,feature,DE_IR_size21,fault,belongsto
DE_OR_size7_clock3_load0,feature,FE_OR_size7_clock3,fault,belongsto
DE_OR_size7_clock3_load1,feature,FE_OR_size7_clock3,fault,belongsto
DE_OR_size7_clock3_load2,feature,FE_OR_size7_clock3,fault,belongsto
DE_OR_size7_clock3_load3,feature,FE_OR_size7_clock3,fault,belongsto
DE_OR_size7_clock6_load0,feature,FE_OR_size7_clock6,fault,belongsto
DE_OR_size7_clock6_load1,feature,FE_OR_size7_clock6,fault,belongsto
DE_OR_size7_clock6_load2,feature,FE_OR_size7_clock6,fault,belongsto
DE_OR_size7_clock6_load3,feature,FE_OR_size7_clock6,fault,belongsto
DE_OR_size7_clock12_load0,feature,FE_OR_size7_clock12,fault,belongsto
DE_OR_size7_clock12_load1,feature,FE_OR_size7_clock12,fault,belongsto
DE_OR_size7_clock12_load2,feature,FE_OR_size7_clock12,fault,belongsto
DE_OR_size7_clock12_load3,feature,FE_OR_size7_clock12,fault,belongsto
DE_OR_size14_clock6_load0,feature,DE_OR_size14_clock6,fault,belongsto
DE_OR_size14_clock6_load1,feature,DE_OR_size14_clock6,fault,belongsto
DE_OR_size14_clock6_load2,feature,DE_OR_size14_clock6,fault,belongsto
DE_OR_size14_clock6_load3,feature,DE_OR_size14_clock6,fault,belongsto
DE_OR_size21_clock3_load0,feature,DE_OR_size21_clock3,fault,belongsto
DE_OR_size21_clock3_load1,feature,DE_OR_size21_clock3,fault,belongsto
DE_OR_size21_clock3_load2,feature,DE_OR_size21_clock3,fault,belongsto
DE_OR_size21_clock3_load3,feature,DE_OR_size21_clock3,fault,belongsto
DE_OR_size21_clock6_load0,feature,DE_OR_size21_clock6,fault,belongsto
DE_OR_size21_clock6_load1,feature,DE_OR_size21_clock6,fault,belongsto
DE_OR_size21_clock6_load2,feature,DE_OR_size21_clock6,fault,belongsto
DE_OR_size21_clock6_load3,feature,DE_OR_size21_clock6,fault,belongsto
DE_OR_size21_clock12_load0,feature,DE_OR_size21_clock12,fault,belongsto
DE_OR_size21_clock12_load1,feature,DE_OR_size21_clock12,fault,belongsto
DE_OR_size21_clock12_load2,feature,DE_OR_size21_clock12,fault,belongsto
DE_OR_size21_clock12_load3,feature,DE_OR_size21_clock12,fault,belongsto
FE_IR_size7_load0,feature,FE_IR_size7,fault,belongsto
FE_IR_size7_load1,feature,FE_IR_size7,fault,belongsto
FE_IR_size7_load2,feature,FE_IR_size7,fault,belongsto
FE_IR_size7_load3,feature,FE_IR_size7,fault,belongsto
FE_IR_size14_load0,feature,FE_IR_size14,fault,belongsto
FE_IR_size14_load1,feature,FE_IR_size14,fault,belongsto
FE_IR_size14_load2,feature,FE_IR_size14,fault,belongsto
FE_IR_size14_load3,feature,FE_IR_size14,fault,belongsto
FE_IR_size21_load0,feature,FE_IR_size21,fault,belongsto
FE_IR_size21_load1,feature,FE_IR_size21,fault,belongsto
FE_IR_size21_load2,feature,FE_IR_size21,fault,belongsto
FE_IR_size21_load3,feature,FE_IR_size21,fault,belongsto
FE_OR_size7_clock3_load0,feature,FE_OR_size7_clock3,fault,belongsto
FE_OR_size7_clock3_load1,feature,FE_OR_size7_clock3,fault,belongsto
FE_OR_size7_clock3_load2,feature,FE_OR_size7_clock3,fault,belongsto
FE_OR_size7_clock3_load3,feature,FE_OR_size7_clock3,fault,belongsto
FE_OR_size7_clock6_load0,feature,FE_OR_size7_clock6,fault,belongsto
FE_OR_size7_clock6_load1,feature,FE_OR_size7_clock6,fault,belongsto
FE_OR_size7_clock6_load2,feature,FE_OR_size7_clock6,fault,belongsto
FE_OR_size7_clock6_load3,feature,FE_OR_size7_clock6,fault,belongsto
FE_OR_size7_clock12_load0,feature,FE_OR_size7_clock12,fault,belongsto
FE_OR_size7_clock12_load1,feature,FE_OR_size7_clock12,fault,belongsto
FE_OR_size7_clock12_load2,feature,FE_OR_size7_clock12,fault,belongsto
FE_OR_size7_clock12_load3,feature,FE_OR_size7_clock12,fault,belongsto
FE_OR_size14_clock3_load0,feature,FE_OR_size14_clock3,fault,belongsto
FE_OR_size14_clock3_load1,feature,FE_OR_size14_clock3,fault,belongsto
FE_OR_size14_clock3_load2,feature,FE_OR_size14_clock3,fault,belongsto
FE_OR_size14_clock3_load3,feature,FE_OR_size14_clock3,fault,belongsto
FE_OR_size21_clock3_load1,feature,FE_OR_size21_clock3,fault,belongsto
FE_OR_size21_clock3_load2,feature,FE_OR_size21_clock3,fault,belongsto
FE_OR_size21_clock3_load3,feature,FE_OR_size21_clock3,fault,belongsto
